--- Quick Sync Started at 20260722_213659 ---
[2026-07-22 21:36:59 UTC] Starting workspace scan across repositories...
[2026-07-22 21:36:59 UTC] Scanning repository tree: edge-ai...
[2026-07-22 21:37:00 UTC] Scanning repository tree: irislime...
[2026-07-22 21:37:02 UTC] Scanning repository tree: fekerr-dev...
[2026-07-22 21:37:02 UTC] Scan Complete: Found 24950 files (1434.67 MB total).
[2026-07-22 21:37:02 UTC] Building .tar.gz archive...
[2026-07-22 21:37:02 UTC] Tar.gz Progress: 100/24950 files packed...
[2026-07-22 21:37:02 UTC] Tar.gz Progress: 200/24950 files packed...
[2026-07-22 21:37:02 UTC] Tar.gz Progress: 300/24950 files packed...
[2026-07-22 21:37:02 UTC] Tar.gz Progress: 400/24950 files packed...
[2026-07-22 21:37:02 UTC] Tar.gz Progress: 500/24950 files packed...
[2026-07-22 21:37:02 UTC] Tar.gz Progress: 600/24950 files packed...
[2026-07-22 21:37:04 UTC] Tar.gz Progress: 700/24950 files packed...
[2026-07-22 21:37:04 UTC] Tar.gz Progress: 800/24950 files packed...
[2026-07-22 21:37:04 UTC] Tar.gz Progress: 900/24950 files packed...
[2026-07-22 21:37:16 UTC] Tar.gz Progress: 1000/24950 files packed...
[2026-07-22 21:37:17 UTC] Tar.gz Progress: 1100/24950 files packed...
[2026-07-22 21:37:17 UTC] Tar.gz Progress: 1200/24950 files packed...
[2026-07-22 21:37:18 UTC] Tar.gz Progress: 1300/24950 files packed...
[2026-07-22 21:37:18 UTC] Tar.gz Progress: 1400/24950 files packed...
[2026-07-22 21:37:18 UTC] Tar.gz Progress: 1500/24950 files packed...
[2026-07-22 21:37:18 UTC] Tar.gz Progress: 1600/24950 files packed...
[2026-07-22 21:37:18 UTC] Tar.gz Progress: 1700/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 1800/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 1900/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 2000/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 2100/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 2200/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 2300/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 2400/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 2500/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 2600/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 2700/24950 files packed...
[2026-07-22 21:37:19 UTC] Tar.gz Progress: 2800/24950 files packed...
[2026-07-22 21:37:36 UTC] Tar.gz Progress: 2900/24950 files packed...
[2026-07-22 21:37:36 UTC] Tar.gz Progress: 3000/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 3100/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 3200/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 3300/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 3400/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 3500/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 3600/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 3700/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 3800/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 3900/24950 files packed...
[2026-07-22 21:37:37 UTC] Tar.gz Progress: 4000/24950 files packed...
[2026-07-22 21:37:38 UTC] Tar.gz Progress: 4100/24950 files packed...
[2026-07-22 21:37:38 UTC] Tar.gz Progress: 4200/24950 files packed...
[2026-07-22 21:37:38 UTC] Tar.gz Progress: 4300/24950 files packed...
[2026-07-22 21:37:38 UTC] Tar.gz Progress: 4400/24950 files packed...
[2026-07-22 21:37:38 UTC] Tar.gz Progress: 4500/24950 files packed...
[2026-07-22 21:37:38 UTC] Tar.gz Progress: 4600/24950 files packed...
[2026-07-22 21:37:38 UTC] Tar.gz Progress: 4700/24950 files packed...
[2026-07-22 21:37:38 UTC] Tar.gz Progress: 4800/24950 files packed...
[2026-07-22 21:37:39 UTC] Tar.gz Progress: 4900/24950 files packed...
[2026-07-22 21:37:39 UTC] Tar.gz Progress: 5000/24950 files packed...
[2026-07-22 21:37:39 UTC] Tar.gz Progress: 5100/24950 files packed...
[2026-07-22 21:37:39 UTC] Tar.gz Progress: 5200/24950 files packed...
[2026-07-22 21:37:39 UTC] Tar.gz Progress: 5300/24950 files packed...
[2026-07-22 21:37:40 UTC] Tar.gz Progress: 5400/24950 files packed...
[2026-07-22 21:37:40 UTC] Tar.gz Progress: 5500/24950 files packed...
[2026-07-22 21:37:40 UTC] Tar.gz Progress: 5600/24950 files packed...
[2026-07-22 21:37:40 UTC] Tar.gz Progress: 5700/24950 files packed...
[2026-07-22 21:37:40 UTC] Tar.gz Progress: 5800/24950 files packed...
[2026-07-22 21:37:40 UTC] Tar.gz Progress: 5900/24950 files packed...
[2026-07-22 21:37:41 UTC] Tar.gz Progress: 6000/24950 files packed...
[2026-07-22 21:37:41 UTC] Tar.gz Progress: 6100/24950 files packed...
[2026-07-22 21:37:41 UTC] Tar.gz Progress: 6200/24950 files packed...
[2026-07-22 21:37:41 UTC] Tar.gz Progress: 6300/24950 files packed...
[2026-07-22 21:37:41 UTC] Tar.gz Progress: 6400/24950 files packed...
[2026-07-22 21:37:41 UTC] Tar.gz Progress: 6500/24950 files packed...
[2026-07-22 21:37:41 UTC] Tar.gz Progress: 6600/24950 files packed...
[2026-07-22 21:37:41 UTC] Tar.gz Progress: 6700/24950 files packed...
[2026-07-22 21:37:42 UTC] Tar.gz Progress: 6800/24950 files packed...
[2026-07-22 21:37:42 UTC] Tar.gz Progress: 6900/24950 files packed...
[2026-07-22 21:37:42 UTC] Tar.gz Progress: 7000/24950 files packed...
[2026-07-22 21:37:42 UTC] Tar.gz Progress: 7100/24950 files packed...
[2026-07-22 21:37:42 UTC] Tar.gz Progress: 7200/24950 files packed...
[2026-07-22 21:37:42 UTC] Tar.gz Progress: 7300/24950 files packed...
[2026-07-22 21:37:42 UTC] Tar.gz Progress: 7400/24950 files packed...
[2026-07-22 21:37:42 UTC] Tar.gz Progress: 7500/24950 files packed...
[2026-07-22 21:37:42 UTC] Tar.gz Progress: 7600/24950 files packed...
